0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
14,30,38,39,42,73,55,54,93,108,108,108,108,108,108
14,29,31,32,33,35,36,86,108,108,108,108,108,108,108
14,29,31,83,108,108,108,108,108,108,108,108,108,108,108
14,29,81,108,108,108,108,108,108,108,108,108,108,108,108
14,29,82,108,108,108,108,108,108,108,108,108,108,108,108
14,30,87,108,108,108,108,108,108,108,108,108,108,108,108
14,30,38,88,108,108,108,108,108,108,108,108,108,108,108
14,29,31,32,84,108,108,108,108,108,108,108,108,108,108
14,29,31,32,33,85,108,108,108,108,108,108,108,108,108
14,30,38,39,41,91,108,108,108,108,108,108,108,108,108
14,30,38,39,41,50,92,108,108,108,108,108,108,108,108
14,30,38,39,41,49,89,108,108,108,108,108,108,108,108
14,30,38,39,41,49,44,90,108,108,108,108,108,108,108
14,30,38,39,41,49,44,108,108,108,108,108,108,108,108
108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
14,30,38,39,41,49,108,108,108,108,108,108,108,108,108
108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
14,30,38,39,41,50,108,108,108,108,108,108,108,108,108
108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
14,30,38,39,41,108,108,108,108,108,108,108,108,108,108
14,29,31,32,34,108,108,108,108,108,108,108,108,108,108
14,30,38,39,42,108,108,108,108,108,108,108,108,108,108
14,29,31,32,33,35,36,108,108,108,108,108,108,108,108
108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
14,29,31,32,33,35,108,108,108,108,108,108,108,108,108
108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
14,30,38,39,40,108,108,108,108,108,108,108,108,108,108
108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
14,29,31,32,33,108,108,108,108,108,108,108,108,108,108
108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
14,29,31,32,108,108,108,108,108,108,108,108,108,108,108
14,30,38,39,42,73,108,108,108,108,108,108,108,108,108
14,30,38,39,108,108,108,108,108,108,108,108,108,108,108
14,29,31,32,34,48,108,108,108,108,108,108,108,108,108
14,30,38,108,108,108,108,108,108,108,108,108,108,108,108
14,29,31,32,34,48,64,108,108,108,108,108,108,108,108
14,29,31,108,108,108,108,108,108,108,108,108,108,108,108
14,30,38,39,42,73,55,108,108,108,108,108,108,108,108
14,29,108,108,108,108,108,108,108,108,108,108,108,108,108
14,30,38,39,42,73,55,54,108,108,108,108,108,108,108
14,29,31,32,34,48,64,63,62,108,108,108,108,108,108
14,108,108,108,108,108,108,108,108,108,108,108,108,108,108
14,30,108,108,108,108,108,108,108,108,108,108,108,108,108
14,29,31,32,34,48,64,63,108,108,108,108,108,108,108
108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
14,29,31,32,33,35,36,37,108,108,108,108,108,108,108
15,108,108,108,108,108,108,108,108,108,108,108,108,108,108
108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
14,30,38,39,41,49,44,45,108,108,108,108,108,108,108
108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
14,30,38,39,41,50,51,108,108,108,108,108,108,108,108
108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
